CET Marks,College Name,Branch,Timestamp
94,CS,IT,2025-03-27 10:50:23
83,RIT,Mechanical,2025-03-27 11:05:09
90.0,General,DJ Sanghvi College of Engineering,Power Electronics,2026-03-06 19:11:33
90.0,General,Thadomal Shahani Engineering College,Automobile Engineering,2026-03-06 19:11:33
90.0,General,Shree L.R. Tiwari College of Engineering,Electrical Engineering,2026-03-06 19:11:33
90.0,General,Government College of Engineering Nagpur,Electrical Engineering,2026-03-06 19:11:33
90.0,General,Fr. Conceicao Rodrigues College of Engineering,Chemical Engineering,2026-03-06 19:11:33
90.0,General,DY Patil Institute of Technology,Electronics Engineering,2026-03-06 19:11:33
90.0,General,Vishwakarma Institute of Technology,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,Rajarambapu Institute of Technology (RIT),Software Engineering,2026-03-06 19:11:33
90.0,General,Rajarambapu Institute of Technology (RIT),Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,"Manipal University, Jaipur (Maharashtra Campus)",Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,SIES Graduate School of Technology,Instrumentation Engineering,2026-03-06 19:11:33
90.0,General,Government Polytechnic Mumbai,Production Engineering,2026-03-06 19:11:33
90.0,General,Vidyalankar School of Information Technology,Computer Science and Engineering (AI & ML),2026-03-06 19:11:33
90.0,General,RAISONI College of Engineering,Computer Science Engineering,2026-03-06 19:11:33
90.0,General,Bharati Vidyapeeth College of Engineering,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,Vivekanand Education Society's Institute of Technology,Chemical Engineering,2026-03-06 19:11:33
90.0,General,DY Patil Institute of Technology,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,Terna Engineering College,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,DKTE Textile and Engineering Institute,Information Technology,2026-03-06 19:11:33
90.0,General,Sinhgad College of Engineering,Textile Engineering,2026-03-06 19:11:33
90.0,General,Dr. D.Y. Patil School of Engineering,Instrumentation Engineering,2026-03-06 19:11:33
90.0,General,Sinhgad Academy of Engineering,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,Army Institute of Technology,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,G.H. Raisoni Academy of Engineering and Technology,Power Electronics,2026-03-06 19:11:33
90.0,General,Government Polytechnic Mumbai,Environmental Engineering,2026-03-06 19:11:33
90.0,General,Priyadarshini College of Engineering,Textile Engineering,2026-03-06 19:11:33
90.0,General,Dr. Babasaheb Ambedkar Technological University,Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,PDEA's College of Engineering,Computer Science and Engineering (Data Science),2026-03-06 19:11:33
90.0,General,Sinhgad Academy of Engineering,Computer Science and Engineering (AI & ML),2026-03-06 19:11:33
90.0,General,Yeshwantrao Chavan College of Engineering,Production Engineering,2026-03-06 19:11:33
90.0,General,Thakur College of Engineering and Technology,Electrical Engineering,2026-03-06 19:11:33
90.0,General,K. J. Somaiya College of Engineering,Power Electronics,2026-03-06 19:11:33
90.0,General,Shree L.R. Tiwari College of Engineering,Automobile Engineering,2026-03-06 19:11:33
90.0,General,Dr. Vithalrao Vikhe Patil College of Engineering,Environmental Engineering,2026-03-06 19:11:33
90.0,General,Priyadarshini College of Engineering,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,MIT Academy of Engineering,Agricultural Engineering,2026-03-06 19:11:33
90.0,General,MIT Academy of Engineering,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,PDEA's College of Engineering,Production Engineering,2026-03-06 19:11:33
90.0,General,G.H. Raisoni Academy of Engineering and Technology,Computer Science Engineering,2026-03-06 19:11:33
90.0,General,Thadomal Shahani Engineering College,Software Engineering,2026-03-06 19:11:33
90.0,General,Genba Sopanrao Moze College of Engineering,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,Deogiri Institute of Engineering and Management Studies,Production Engineering,2026-03-06 19:11:33
90.0,General,DKTE,Civil Engineering,2026-03-06 19:11:33
90.0,General,Cummins College of Engineering for Women,Artificial Intelligence and Data Science,2026-03-06 19:11:33
90.0,General,MGM College of Engineering,Electronics Engineering,2026-03-06 19:11:33
90.0,General,Ramrao Adik Institute of Technology,Civil Engineering,2026-03-06 19:11:33
90.0,General,G.H. Raisoni Academy of Engineering and Technology,Production Engineering,2026-03-06 19:11:33
90.0,General,Cummins College of Engineering for Women,Computer Science Engineering,2026-03-06 19:11:33
90.0,General,PDEA's College of Engineering,Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,Marathwada Institute of Technology,Automobile Engineering,2026-03-06 19:11:33
90.0,General,PDEA's College of Engineering,Civil Engineering,2026-03-06 19:11:33
90.0,General,SIES Graduate School of Technology,Production Engineering,2026-03-06 19:11:33
90.0,General,Swami Ramanand Teerth Marathwada University,Agricultural Engineering,2026-03-06 19:11:33
90.0,General,Annasaheb Dange College of Engineering,Computer Science and Engineering (Data Science),2026-03-06 19:11:33
90.0,General,DKTE Textile and Engineering Institute,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,Dr. Babasaheb Ambedkar Technological University,Civil Engineering,2026-03-06 19:11:33
90.0,General,College of Engineering Pune (CoEP),Civil Engineering,2026-03-06 19:11:33
90.0,General,Cummins College of Engineering for Women,Textile Engineering,2026-03-06 19:11:33
90.0,General,Genba Sopanrao Moze College of Engineering,Artificial Intelligence and Data Science,2026-03-06 19:11:33
90.0,General,Mukesh Patel School of Technology,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,Vidyalankar School of Information Technology,Civil Engineering,2026-03-06 19:11:33
90.0,General,JSPM's Rajarshi Shahu College of Engineering,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,Annasaheb Dange College of Engineering,Textile Engineering,2026-03-06 19:11:33
90.0,General,JSPM's Rajarshi Shahu College of Engineering,Computer Science Engineering,2026-03-06 19:11:33
90.0,General,Pimpri Chinchwad College of Engineering (PCCOE),Computer Science and Engineering (AI & ML),2026-03-06 19:11:33
90.0,General,PDEA's College of Engineering,Electronics Engineering,2026-03-06 19:11:33
90.0,General,Dr. Vithalrao Vikhe Patil College of Engineering,Computer Science and Engineering (Data Science),2026-03-06 19:11:33
90.0,General,MIT Academy of Engineering,Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,Cummins College of Engineering for Women,Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,Guru Nanak Institute of Technology,Computer Science and Engineering (AI & ML),2026-03-06 19:11:33
90.0,General,Army Institute of Technology,Environmental Engineering,2026-03-06 19:11:33
90.0,General,Walchand College of Engineering,Automobile Engineering,2026-03-06 19:11:33
90.0,General,Thakur College of Engineering and Technology,Production Engineering,2026-03-06 19:11:33
90.0,General,Pimpri Chinchwad College of Engineering (PCCOE),Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,Vidyalankar School of Information Technology,Computer Science and Engineering (Data Science),2026-03-06 19:11:33
90.0,General,JSPM's Rajarshi Shahu College of Engineering,Electrical Engineering,2026-03-06 19:11:33
90.0,General,DKTE Textile and Engineering Institute,Computer Science and Engineering (Data Science),2026-03-06 19:11:33
90.0,General,DJ Sanghvi College of Engineering,Production Engineering,2026-03-06 19:11:33
90.0,General,Deogiri Institute of Engineering and Management Studies,Instrumentation Engineering,2026-03-06 19:11:33
90.0,General,Pillar College of Engineering,Electrical Engineering,2026-03-06 19:11:33
90.0,General,Rajarambapu Institute of Technology (RIT),Agricultural Engineering,2026-03-06 19:11:33
90.0,General,Deogiri Institute of Engineering and Management Studies,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,DY Patil Institute of Technology,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,G.H. Raisoni Academy of Engineering and Technology,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,AISSMS College of Engineering,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,AISSMS College of Engineering,Power Electronics,2026-03-06 19:11:33
90.0,General,Sanjivani College of Engineering,Environmental Engineering,2026-03-06 19:11:33
90.0,General,Fr. Conceicao Rodrigues College of Engineering,Computer Science and Engineering (AI & ML),2026-03-06 19:11:33
90.0,General,"Manipal University, Jaipur (Maharashtra Campus)",Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,Fr. Conceicao Rodrigues College of Engineering,Agricultural Engineering,2026-03-06 19:11:33
90.0,General,Mukesh Patel School of Technology,Artificial Intelligence and Data Science,2026-03-06 19:11:33
90.0,General,Yeshwantrao Chavan College of Engineering,Instrumentation Engineering,2026-03-06 19:11:33
90.0,General,Dr. D.Y. Patil School of Engineering,Production Engineering,2026-03-06 19:11:33
90.0,General,JSPM Solapur,Electrical Engineering,2026-03-06 19:11:33
90.0,General,K. J. Somaiya College of Engineering,Chemical Engineering,2026-03-06 19:11:33
90.0,General,Pravara Rural College of Engineering,Agricultural Engineering,2026-03-06 19:11:33
90.0,General,Walchand College of Engineering,Information Technology,2026-03-06 19:11:33
90.0,General,Pravara Rural College of Engineering,Textile Engineering,2026-03-06 19:11:33
90.0,General,Rajarambapu Institute of Technology (RIT),Electrical Engineering,2026-03-06 19:11:33
90.0,General,Vishwakarma Institute of Technology,Electronics Engineering,2026-03-06 19:11:33
90.0,General,RAISONI College of Engineering,Electrical Engineering,2026-03-06 19:11:33
90.0,General,Fr. Conceicao Rodrigues College of Engineering,Computer Science Engineering,2026-03-06 19:11:33
90.0,General,Sanjivani College of Engineering,Production Engineering,2026-03-06 19:11:33
90.0,General,Terna Engineering College,Production Engineering,2026-03-06 19:11:33
90.0,General,Vivekanand Education Society's Institute of Technology,Software Engineering,2026-03-06 19:11:33
90.0,General,MGM College of Engineering,Information Technology,2026-03-06 19:11:33
90.0,General,Priyadarshini College of Engineering,Power Electronics,2026-03-06 19:11:33
90.0,General,JSPM Solapur,Production Engineering,2026-03-06 19:11:33
90.0,General,Genba Sopanrao Moze College of Engineering,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,MIT World Peace University,Electrical Engineering,2026-03-06 19:11:33
90.0,General,DKTE Textile and Engineering Institute,Automobile Engineering,2026-03-06 19:11:33
90.0,General,Priyadarshini College of Engineering,Information Technology,2026-03-06 19:11:33
90.0,General,SIES Graduate School of Technology,Power Electronics,2026-03-06 19:11:33
90.0,General,DKTE Textile and Engineering Institute,Electronics Engineering,2026-03-06 19:11:33
90.0,General,Thadomal Shahani Engineering College,Computer Science and Engineering (AI & ML),2026-03-06 19:11:33
90.0,General,Pillar College of Engineering,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,Pravara Rural College of Engineering,Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,K. J. Somaiya College of Engineering,Electrical Engineering,2026-03-06 19:11:33
90.0,General,MIT World Peace University,Computer Science and Engineering (Data Science),2026-03-06 19:11:33
90.0,General,Vivekanand Education Society's Institute of Technology,Agricultural Engineering,2026-03-06 19:11:33
90.0,General,Dr. D.Y. Patil School of Engineering,Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,Rajarambapu Institute of Technology (RIT),Instrumentation Engineering,2026-03-06 19:11:33
90.0,General,Deogiri Institute of Engineering and Management Studies,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,Genba Sopanrao Moze College of Engineering,Environmental Engineering,2026-03-06 19:11:33
90.0,General,Sinhgad College of Engineering,Instrumentation Engineering,2026-03-06 19:11:33
90.0,General,DJ Sanghvi College of Engineering,Computer Science and Engineering (AI & ML),2026-03-06 19:11:33
90.0,General,Annasaheb Dange College of Engineering,Environmental Engineering,2026-03-06 19:11:33
90.0,General,Walchand College of Engineering,Computer Science and Engineering (AI & ML),2026-03-06 19:11:33
90.0,General,Pravara Rural College of Engineering,Computer Science and Engineering (AI & ML),2026-03-06 19:11:33
90.0,General,Ramrao Adik Institute of Technology,Environmental Engineering,2026-03-06 19:11:33
90.0,General,Dr. Vithalrao Vikhe Patil College of Engineering,Software Engineering,2026-03-06 19:11:33
90.0,General,Thakur College of Engineering and Technology,Computer Science and Engineering (AI & ML),2026-03-06 19:11:33
90.0,General,Terna Engineering College,Automobile Engineering,2026-03-06 19:11:33
90.0,General,Pune Institute of Computer Technology (PICT),Electrical Engineering,2026-03-06 19:11:33
90.0,General,JSPM's Rajarshi Shahu College of Engineering,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,Priyadarshini College of Engineering,Environmental Engineering,2026-03-06 19:11:33
90.0,General,Sanjivani College of Engineering,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,MIT Academy of Engineering,Information Technology,2026-03-06 19:11:33
90.0,General,Fr. Conceicao Rodrigues College of Engineering,Power Electronics,2026-03-06 19:11:33
90.0,General,Cummins College of Engineering for Women,Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,Ashokrao Mane Group of Institutions,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,Pune Institute of Computer Technology (PICT),Artificial Intelligence and Data Science,2026-03-06 19:11:33
90.0,General,Symbiosis Institute of Technology,Civil Engineering,2026-03-06 19:11:33
90.0,General,Ashokrao Mane Group of Institutions,Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,Vidyalankar School of Information Technology,Production Engineering,2026-03-06 19:11:33
90.0,General,Pune Institute of Computer Technology (PICT),IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,Vishwakarma Institute of Technology,Software Engineering,2026-03-06 19:11:33
90.0,General,Sinhgad Institute of Technology,Chemical Engineering,2026-03-06 19:11:33
90.0,General,KIT's College of Engineering,Artificial Intelligence and Data Science,2026-03-06 19:11:33
90.0,General,Annasaheb Dange College of Engineering,Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,Shantidoot Madhavrao Patil College of Engineering,Artificial Intelligence and Data Science,2026-03-06 19:11:33
90.0,General,Ashokrao Mane Group of Institutions,Software Engineering,2026-03-06 19:11:33
90.0,General,Vivekanand Education Society's Institute of Technology,Computer Science and Engineering (AI & ML),2026-03-06 19:11:33
90.0,General,Shantidoot Madhavrao Patil College of Engineering,Agricultural Engineering,2026-03-06 19:11:33
90.0,General,Pimpri Chinchwad College of Engineering (PCCOE),Automobile Engineering,2026-03-06 19:11:33
90.0,General,SIES Graduate School of Technology,Automobile Engineering,2026-03-06 19:11:33
90.0,General,Genba Sopanrao Moze College of Engineering,Chemical Engineering,2026-03-06 19:11:33
90.0,General,Dr. D.Y. Patil School of Engineering,Computer Science and Engineering (Data Science),2026-03-06 19:11:33
90.0,General,Ramrao Adik Institute of Technology,Automobile Engineering,2026-03-06 19:11:33
90.0,General,Pune Institute of Computer Technology (PICT),Instrumentation Engineering,2026-03-06 19:11:33
90.0,General,Priyadarshini College of Engineering,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,JSPM's Rajarshi Shahu College of Engineering,Environmental Engineering,2026-03-06 19:11:33
90.0,General,Ashokrao Mane Group of Institutions,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,Sanjivani College of Engineering,Civil Engineering,2026-03-06 19:11:33
90.0,General,SIES Graduate School of Technology,Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,MGM College of Engineering,Chemical Engineering,2026-03-06 19:11:33
90.0,General,Rajarambapu Institute of Technology (RIT),Environmental Engineering,2026-03-06 19:11:33
90.0,General,Bharati Vidyapeeth College of Engineering,Information Technology,2026-03-06 19:11:33
90.0,General,Yeshwantrao Chavan College of Engineering,Artificial Intelligence and Data Science,2026-03-06 19:11:33
90.0,General,Guru Nanak Institute of Technology,Software Engineering,2026-03-06 19:11:33
90.0,General,Symbiosis Institute of Technology,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,MGM College of Engineering,Agricultural Engineering,2026-03-06 19:11:33
90.0,General,DY Patil,Chemical Engineering,2026-03-06 19:11:33
90.0,General,DKTE Textile and Engineering Institute,Electrical Engineering,2026-03-06 19:11:33
90.0,General,Sanjivani College of Engineering,Chemical Engineering,2026-03-06 19:11:33
90.0,General,Terna Engineering College,Electrical Engineering,2026-03-06 19:11:33
90.0,General,"Manipal University, Jaipur (Maharashtra Campus)",Computer Science Engineering,2026-03-06 19:11:33
90.0,General,PDEA's College of Engineering,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,Thadomal Shahani Engineering College,IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,Sinhgad College of Engineering,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,Mukesh Patel School of Technology,Computer Science and Engineering (AI & ML),2026-03-06 19:11:33
90.0,General,Bharati Vidyapeeth College of Engineering,Chemical Engineering,2026-03-06 19:11:33
90.0,General,RAISONI College of Engineering,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,G.H. Raisoni Academy of Engineering and Technology,Textile Engineering,2026-03-06 19:11:33
90.0,General,JSPM's Rajarshi Shahu College of Engineering,Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,Pimpri Chinchwad College of Engineering (PCCOE),IoT and Embedded Systems,2026-03-06 19:11:33
90.0,General,Fr. Conceicao Rodrigues College of Engineering,Civil Engineering,2026-03-06 19:11:33
90.0,General,JSPM Solapur,Electronics Engineering,2026-03-06 19:11:33
90.0,General,Ramrao Adik Institute of Technology,Information Technology,2026-03-06 19:11:33
90.0,General,Symbiosis Institute of Technology,Production Engineering,2026-03-06 19:11:33
90.0,General,Vidyalankar School of Information Technology,Environmental Engineering,2026-03-06 19:11:33
90.0,General,Shree L.R. Tiwari College of Engineering,Textile Engineering,2026-03-06 19:11:33
90.0,General,Yeshwantrao Chavan College of Engineering,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,DY Patil Institute of Technology,Software Engineering,2026-03-06 19:11:33
90.0,General,Guru Nanak Institute of Technology,Environmental Engineering,2026-03-06 19:11:33
90.0,General,KIT's College of Engineering,Production Engineering,2026-03-06 19:11:33
90.0,General,Marathwada Institute of Technology,Production Engineering,2026-03-06 19:11:33
90.0,General,Thakur College of Engineering and Technology,Information Technology,2026-03-06 19:11:33
90.0,General,Sanjivani College of Engineering,Artificial Intelligence and Data Science,2026-03-06 19:11:33
90.0,General,Pillar College of Engineering,Software Engineering,2026-03-06 19:11:33
90.0,General,Ramrao Adik Institute of Technology,Production Engineering,2026-03-06 19:11:33
90.0,General,JSPM's Rajarshi Shahu College of Engineering,Power Electronics,2026-03-06 19:11:33
90.0,General,Terna Engineering College,Software Engineering,2026-03-06 19:11:33
90.0,General,Guru Nanak Institute of Technology,Information Technology,2026-03-06 19:11:33
90.0,General,Sinhgad Academy of Engineering,Chemical Engineering,2026-03-06 19:11:33
90.0,General,Sinhgad Institute of Technology,Production Engineering,2026-03-06 19:11:33
90.0,General,Priyadarshini College of Engineering,Instrumentation Engineering,2026-03-06 19:11:33
90.0,General,Priyadarshini College of Engineering,Software Engineering,2026-03-06 19:11:33
90.0,General,MIT World Peace University,Textile Engineering,2026-03-06 19:11:33
90.0,General,Sanjivani College of Engineering,Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,MGM College of Engineering,Instrumentation Engineering,2026-03-06 19:11:33
90.0,General,Thakur College of Engineering and Technology,Biotechnology Engineering,2026-03-06 19:11:33
90.0,General,Dr. D.Y. Patil School of Engineering,Automobile Engineering,2026-03-06 19:11:33
90.0,General,PDEA's College of Engineering,Textile Engineering,2026-03-06 19:11:33
90.0,General,DY Patil,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,DJ Sanghvi College of Engineering,Civil Engineering,2026-03-06 19:11:33
90.0,General,K. J. Somaiya College of Engineering,Civil Engineering,2026-03-06 19:11:33
90.0,General,Sinhgad Academy of Engineering,Aeronautical Engineering,2026-03-06 19:11:33
90.0,General,Cummins College of Engineering for Women,Information Technology,2026-03-06 19:11:33
90.0,General,Shantidoot Madhavrao Patil College of Engineering,Information Technology,2026-03-06 19:11:33
90.0,General,Dr. D.Y. Patil School of Engineering,Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,Bharati Vidyapeeth College of Engineering,Mechanical Engineering,2026-03-06 19:11:33
90.0,General,Symbiosis Institute of Technology,Chemical Engineering,2026-03-06 19:11:33
90.0,General,RAISONI College of Engineering,Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,AISSMS College of Engineering,Chemical Engineering,2026-03-06 19:11:33
90.0,General,DKTE Textile and Engineering Institute,Electronics and Telecommunication Engineering,2026-03-06 19:11:33
90.0,General,Yeshwantrao Chavan College of Engineering,Information Technology,2026-03-06 19:11:33
90.0,General,Shree L.R. Tiwari College of Engineering,Power Electronics,2026-03-06 19:11:33
90.0,General,AISSMS College of Engineering,Environmental Engineering,2026-03-06 19:11:33
90.0,General,Ashokrao Mane Group of Institutions,Agricultural Engineering,2026-03-06 19:11:33
90.0,General,Shantidoot Madhavrao Patil College of Engineering,Automobile Engineering,2026-03-06 19:11:33
90.0,General,Genba Sopanrao Moze College of Engineering,Civil Engineering,2026-03-06 19:11:33
90.0,General,SIES Graduate School of Technology,Civil Engineering,2026-03-06 19:11:33
90.0,General,MGM College of Engineering,Civil Engineering,2026-03-06 19:11:33
90.0,General,DY Patil,Civil Engineering,2026-03-06 19:11:33
